ablation,arrival_count,average_communication_delay_s,average_end_to_end_delay_s,average_energy_j,average_reward_per_request,average_slot_crossings,bandit_action_count,bandit_updated,epoch,execution_agent,failure_count,feasible_count,p95_end_to_end_delay_s,processed_request_count,request_count,route_estimate_cache_hits,route_estimate_cache_misses,route_mode_local_count,route_mode_min_cost_max_flow_count,routing_precomputed_nodes,routing_precomputed_slots,routing_route_result_hits,routing_route_result_misses,routing_shortest_path_hits,routing_shortest_path_misses,seed,service_routing_strategy,slot_duration_s,slot_mod,slot_start_time_s,success_rate,task_completion_rate,total_reward
sc_nfv,5,1.9235808275758743,41.11268998275955,1622.6129262537177,-17.41864374885605,0.2,0,False,41,SCNFVChainingOrbitExecutionAgent,0,5,62.650265254941075,5,5,3878,38151,4,36,180,606,1635,38269,0,0,44,min_cost_max_flow,10.0,40,400.0,1.0,1.0,-87.09321874428025
sc_nfv,4,1.5833613712390384,31.754810675480755,1286.1511762151174,-13.473614975921373,0.06896551724137931,0,False,42,SCNFVChainingOrbitExecutionAgent,0,4,49.54725887067491,4,4,3924,38855,1,28,180,606,1664,38973,0,0,44,min_cost_max_flow,10.0,41,410.0,1.0,1.0,-53.894459903685494
sc_nfv,4,1.5676255007557964,45.76295296912592,1973.7614351564541,-19.489438048744244,0.14705882352941177,0,False,43,SCNFVChainingOrbitExecutionAgent,0,4,99.12125988586615,4,4,3983,39631,1,33,180,606,1698,39749,0,0,44,min_cost_max_flow,10.0,42,420.0,1.0,1.0,-77.95775219497698
sc_nfv,5,1.2436811407523654,26.358745103659906,1202.5933549688039,-11.265054054445244,0.1,0,False,44,SCNFVChainingOrbitExecutionAgent,0,5,31.896490419418114,5,5,4037,40405,,30,180,606,1728,40523,0,0,44,min_cost_max_flow,10.0,43,430.0,1.0,1.0,-56.32527027222622
sc_nfv,4,1.3891050661359727,35.343192956542666,1518.7276622122474,-15.048513779944415,0.058823529411764705,0,False,45,SCNFVChainingOrbitExecutionAgent,0,4,58.91148199988811,4,4,4109,41191,2,32,180,606,1762,41309,0,0,44,min_cost_max_flow,10.0,44,440.0,1.0,1.0,-60.19405511977766
sc_nfv,5,1.6355857740228925,50.32593999792567,2060.059745819295,-21.366411846661844,0.18181818181818182,0,False,46,SCNFVChainingOrbitExecutionAgent,0,5,77.75867380698656,5,5,4214,42379,,55,180,606,1817,42497,0,0,44,min_cost_max_flow,10.0,45,450.0,1.0,1.0,-106.83205923330922
sc_nfv,3,1.6235514811557843,40.44346914942948,1648.8902597104234,-17.16672181559805,0.25,0,False,47,SCNFVChainingOrbitExecutionAgent,0,3,50.66929610789498,3,3,4267,43013,3,25,180,606,1845,43131,0,0,44,min_cost_max_flow,10.0,46,460.0,1.0,1.0,-51.50016544679414
sc_nfv,4,1.4693926946822524,53.943562120446686,2613.432472438548,-23.145484331641804,0.14705882352941177,0,False,48,SCNFVChainingOrbitExecutionAgent,0,4,73.95722115125068,4,4,4532,43610,2,32,180,606,1878,43729,0,0,44,min_cost_max_flow,10.0,47,470.0,1.0,1.0,-92.58193732656721
sc_nfv,3,1.3373256824737223,52.78299737304015,2611.4780281498875,-22.680085766105993,0.17857142857142858,0,False,49,SCNFVChainingOrbitExecutionAgent,0,3,68.16157830531381,3,3,4588,44250,3,25,180,606,1906,44369,0,0,44,min_cost_max_flow,10.0,48,480.0,1.0,1.0,-68.04025729831798
sc_nfv,3,1.1913250474004051,50.05658179397077,2304.823387536241,-21.405526750110056,0.030303030303030304,4,True,50,SCNFVChainingOrbitExecutionAgent,0,3,65.16886347978067,3,3,4663,44961,1,32,180,606,1943,45114,0,0,44,min_cost_max_flow,10.0,49,490.0,1.0,1.0,-64.21658025033017
sc_nfv,4,1.4893833094208495,34.22915554813969,1498.186259249985,-14.590573974805867,0.06896551724137931,0,False,51,SCNFVChainingOrbitExecutionAgent,0,4,59.63364648684285,4,4,4713,45677,3,26,180,606,1972,45830,0,0,44,min_cost_max_flow,10.0,50,500.0,1.0,1.0,-58.36229589922347
sc_nfv,3,2.137987066878956,43.24485015115844,1689.0203985544715,-18.31135229959606,0.17391304347826086,0,False,52,SCNFVChainingOrbitExecutionAgent,0,3,58.209243111395494,3,3,4754,46225,,23,180,606,1995,46378,0,0,44,min_cost_max_flow,10.0,51,510.0,1.0,1.0,-54.93405689878818
sc_nfv,5,1.8999453428551467,33.26228933076525,1275.0255354510718,-14.069931053576743,0.14285714285714285,0,False,53,SCNFVChainingOrbitExecutionAgent,0,5,51.44900280426384,5,5,4817,47086,1,34,180,606,2030,47239,0,0,44,min_cost_max_flow,10.0,52,520.0,1.0,1.0,-70.34965526788372
sc_nfv,4,1.4130597837209624,60.882627404903786,2605.1981543522693,-25.916169854572875,0.07407407407407407,0,False,54,SCNFVChainingOrbitExecutionAgent,0,4,72.52080129343449,4,4,4984,48077,3,51,180,606,2084,48230,0,0,44,min_cost_max_flow,10.0,53,530.0,1.0,1.0,-103.6646794182915
sc_nfv,6,1.9550364126731492,35.63801489066767,1353.616222811963,-15.067375689954247,0.1956521739130435,0,False,55,SCNFVChainingOrbitExecutionAgent,0,6,52.494919817572736,6,6,5063,49191,2,44,180,606,2130,49344,0,0,44,min_cost_max_flow,10.0,54,540.0,1.0,1.0,-90.40425413972548
sc_nfv,1,1.304981315588994,28.477852839383786,1234.2917531251983,-12.131716187628633,0.16666666666666666,0,False,56,SCNFVChainingOrbitExecutionAgent,0,1,28.477852839383786,1,1,5073,49344,,6,180,606,2136,49497,0,0,44,min_cost_max_flow,10.0,55,550.0,1.0,1.0,-12.131716187628633
sc_nfv,4,1.7422630641491257,35.445669351552795,1398.2092088395345,-15.01719326592484,0.058823529411764705,0,False,57,SCNFVChainingOrbitExecutionAgent,0,4,68.8718270065416,4,4,5125,50151,,34,180,606,2170,50304,0,0,44,min_cost_max_flow,10.0,56,560.0,1.0,1.0,-60.06877306369936
